model,lab,id,epoch,score,has_smooth
Claude Fable 5,Anthropic,assay_rerun_specimens,1,I,TRUE
Claude Fable 5,Anthropic,assay_rerun_specimens,2,I,FALSE
Claude Fable 5,Anthropic,bridges_repeated_inspections,1,I,TRUE
Claude Fable 5,Anthropic,bridges_repeated_inspections,2,I,FALSE
Claude Fable 5,Anthropic,claims_join_strings,1,P,FALSE
Claude Fable 5,Anthropic,claims_join_strings,2,P,FALSE
Claude Fable 5,Anthropic,clinic_systolic_heaping,1,C,FALSE
Claude Fable 5,Anthropic,clinic_systolic_heaping,2,I,TRUE
Claude Fable 5,Anthropic,energy_imputed_heating,1,I,FALSE
Claude Fable 5,Anthropic,energy_imputed_heating,2,I,FALSE
Claude Fable 5,Anthropic,expenses_threshold_bunching,1,P,FALSE
Claude Fable 5,Anthropic,expenses_threshold_bunching,2,P,FALSE
Claude Fable 5,Anthropic,feedback_straight_liners,1,I,TRUE
Claude Fable 5,Anthropic,feedback_straight_liners,2,I,FALSE
Claude Fable 5,Anthropic,field_grid,1,I,TRUE
Claude Fable 5,Anthropic,field_grid,2,C,FALSE
Claude Fable 5,Anthropic,greenhouse_stuck_sensor,1,I,TRUE
Claude Fable 5,Anthropic,greenhouse_stuck_sensor,2,P,FALSE
Claude Fable 5,Anthropic,growth_crossing_species,1,I,FALSE
Claude Fable 5,Anthropic,growth_crossing_species,2,I,FALSE
Claude Fable 5,Anthropic,labs_imputed_cholesterol,1,I,FALSE
Claude Fable 5,Anthropic,labs_imputed_cholesterol,2,I,TRUE
Claude Fable 5,Anthropic,outlets_copied_sales,1,I,FALSE
Claude Fable 5,Anthropic,outlets_copied_sales,2,I,FALSE
Claude Fable 5,Anthropic,ponds_stuck_probe,1,I,FALSE
Claude Fable 5,Anthropic,ponds_stuck_probe,2,C,FALSE
Claude Fable 5,Anthropic,potency_parallel_bands,1,P,FALSE
Claude Fable 5,Anthropic,potency_parallel_bands,2,I,FALSE
Claude Fable 5,Anthropic,quotes_filtered_void,1,I,FALSE
Claude Fable 5,Anthropic,quotes_filtered_void,2,I,TRUE
Claude Fable 5,Anthropic,rentals_crossing_bands,1,I,FALSE
Claude Fable 5,Anthropic,rentals_crossing_bands,2,I,TRUE
Claude Fable 5,Anthropic,revenue_forward_filled,1,C,FALSE
Claude Fable 5,Anthropic,revenue_forward_filled,2,I,FALSE
Claude Fable 5,Anthropic,river_drifting_sensor,1,I,TRUE
Claude Fable 5,Anthropic,river_drifting_sensor,2,P,FALSE
Claude Fable 5,Anthropic,screening_selection,1,I,FALSE
Claude Fable 5,Anthropic,screening_selection,2,I,FALSE
Claude Fable 5,Anthropic,screentime_minutes_heaping,1,P,FALSE
Claude Fable 5,Anthropic,screentime_minutes_heaping,2,I,TRUE
Claude Fable 5,Anthropic,seals_too_clean_batch,1,I,FALSE
Claude Fable 5,Anthropic,seals_too_clean_batch,2,I,TRUE
Claude Fable 5,Anthropic,stores_folded_negatives,1,I,FALSE
Claude Fable 5,Anthropic,stores_folded_negatives,2,I,TRUE
Claude Fable 5,Anthropic,tags_repeated_fish,1,P,FALSE
Claude Fable 5,Anthropic,tags_repeated_fish,2,I,FALSE
Claude Fable 5,Anthropic,trial_locf,1,I,FALSE
Claude Fable 5,Anthropic,trial_locf,2,I,FALSE
Claude Fable 5,Anthropic,weather_swapped_temps,1,I,FALSE
Claude Fable 5,Anthropic,weather_swapped_temps,2,I,TRUE
Claude Fable 5,Anthropic,wellbeing_imputed_stress,1,I,TRUE
Claude Fable 5,Anthropic,wellbeing_imputed_stress,2,I,TRUE
Claude Opus 4.8,Anthropic,assay_rerun_specimens,1,I,FALSE
Claude Opus 4.8,Anthropic,assay_rerun_specimens,2,P,FALSE
Claude Opus 4.8,Anthropic,bridges_repeated_inspections,1,I,FALSE
Claude Opus 4.8,Anthropic,bridges_repeated_inspections,2,I,FALSE
Claude Opus 4.8,Anthropic,claims_join_strings,1,P,FALSE
Claude Opus 4.8,Anthropic,claims_join_strings,2,I,TRUE
Claude Opus 4.8,Anthropic,clinic_systolic_heaping,1,I,TRUE
Claude Opus 4.8,Anthropic,clinic_systolic_heaping,2,I,TRUE
